id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
10898,FLOW016,GCD and LCM,635,192059,64328,53462,0,-1,[-1],
37238,POLTHIEF,Police and Thief,639,34494,27562,25704,0,14485,"14486,14487,14488,14489",START35
38680,FLIPCARDS,Flip the cards,641,55325,30900,28343,0,18952,"19246,19247,19248,19249",LTIME112
35800,BATH,Bath in Winters,643,36091,30180,27940,0,14010,"14011,14012,14013,14014",MARCH221
39490,PRIMEDICE,Hackerman,643,50817,32323,28747,0,20347,"20792,20793,20794,20795",START65
36648,FINDSHOES,Finding Shoes,646,65188,42510,38640,0,14045,"14046,14047,14048,14049",START32
24,FCTRL2,Small factorials,648,587244,143035,123891,0,-1,[-1],
37072,TRANSFORM,Mario and Transformation,649,30760,24392,22301,0,14480,"14481,14482,14483,14484",LTIME107
37094,BULLET,Mario and Bullet,650,30328,24339,22707,0,14480,"14481,14482,14483,14484",LTIME107
37616,C_RATING,Chess Ratings,651,36248,24405,22485,0,16181,"16809,16810,16811,16812",START39
40303,LUCKYN,Lucky Numbers,655,31461,25845,23983,0,21612,"21619,21620,21621,21622",START73
37866,DNASTRAND,Complementary Strand in a DNA,660,32908,25483,23755,0,16191,"17382,17383,17384,17385",JUNE222
37895,CHANGEPOS,Change Row and Column Both,660,24033,21638,20100,0,16187,"17386,17387,17388,17389",START45
35844,CHEFBOTTLE,Chef and Water Bottles,662,49895,37077,33926,0,14025,"14026,14027,14028,14029",START30
500,TSORT,Turbo Sort,667,343808,131505,109711,0,-1,[-1],
37260,CANDYDIST,Candy Distribution,668,46821,33715,30507,0,17585,"18746,18747,18748,18749",LTIME111
10914,FSQRT,Finding Square Roots,668,160972,122623,109293,0,-1,[-1],
37618,HIGHSCORE,Score High,672,43442,31207,28885,0,16189,"16818,16819,16820,16821",MAY222
38019,LASTLEVELS,The Last Levels,679,41989,30190,27818,0,16925,"17629,17630,17631,17632",LTIME110
38013,FILLCANDIES,Fill Candies,681,30260,23317,21538,0,16921,"17655,17656,17657,17658",START48
35488,BLACKJACK,Blackjack,681,41037,33075,30733,0,13740,"13741,13742,13743,13865",START27
39281,XJUMP,X Jumps,686,46353,36508,32489,0,19310,"20360,20361,20362,20363",START62
35555,CHESSDIST,Chessboard Distance,690,41075,31723,28624,0,13744,"13745,13746,13747,13867",LTIME105
35345,VALENTINE,Valentine is Coming,691,38225,31718,28768,0,13624,"13625,13626,13627,13832",START26
37815,MYSERVE,It is My Serve,691,32932,19535,17886,0,16194,"17378,17379,17380,17381",LTIME109
39561,WTRMIXING,Water Mixing,694,30469,20904,18667,0,20637,"20835,20836,20837,20838",NOV221
38383,WGHTS,Weights,697,60930,36999,33727,0,17582,"19129,19130,19131,19132",START53
37885,CHEFAPPS,Chef and his Apps,702,42199,23366,21422,0,16187,"17386,17387,17388,17389",START45
35930,MINCOINS,Minimum number of coins,711,35294,25508,23602,0,14040,"14041,14042,14043,14044",LTIME106
36023,CRICUP,Cup Finals,716,71327,31739,28479,2,14035,"14036,14037,14038,14039",START31
id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
35598,SELFDEF,Self Defence Training,716,47527,34934,32131,1,14003,"14004,14005,14006,14007",START28
37816,FLOORS,Too many Floors,717,31872,21062,19465,0,16194,"17378,17379,17380,17381",LTIME109
